y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99
2107,23,10,84,25,39,32,48,50,80,81,96,29,88,42,95,85,75,91,70,4,97,40,37,82,6,86,23,60,26,77,35,75,90,0,74,49,57,26,18,10,65,88,2,2,40,64,52,56,50,80,68,24,99,45,34,59,36,57,37,51,58,85,44,79,22,54,17,70,12,88,29,67,29,18,60,92,61,47,66,62,1,10,46,54,16,72,18,97,29,53,45,53,24,82,53,18,61,26,74,28
2043,88,75,24,25,4,57,14,98,13,31,48,84,45,4,44,91,46,60,11,10,31,89,35,7,77,55,33,81,59,10,10,84,47,69,37,14,63,30,43,73,71,87,13,69,2,81,19,39,56,16,78,13,88,71,28,79,65,10,65,67,73,86,36,98,30,50,33,15,54,50,48,84,79,20,53,82,44,8,44,74,84,60,38,16,5,76,70,42,55,76,13,15,75,20,1,78,69,34,19,13
1892,63,64,20,14,37,29,29,47,12,42,22,63,30,25,85,57,23,18,87,90,70,40,1,70,20,24,93,44,12,95,29,68,59,58,25,58,75,86,47,52,73,50,37,29,81,70,47,88,3,45,80,12,18,78,15,85,95,57,1,82,53,21,9,65,16,43,68,23,49,84,50,2,57,45,34,65,1,90,76,73,65,90,0,17,40,21,1,3,6,57,7,90,19,43,80,20,46,36,39,76
2044,13,14,76,91,26,28,72,12,10,69,56,50,70,64,34,85,24,56,60,19,19,39,3,76,69,28,78,19,28,97,38,100,52,96,39,84,76,4,66,85,78,16,84,16,88,13,22,67,80,90,44,78,39,10,86,87,47,54,96,91,32,12,41,45,71,62,77,28,54,78,27,73,29,56,41,49,74,5,24,66,59,34,43,68,24,66,25,61,85,76,2,54,94,90,53,26,44,33,46,76
2024,42,41,93,41,88,55,22,34,97,66,55,12,76,59,58,93,27,90,27,30,98,13,61,18,71,77,30,49,99,68,97,14,33,5,60,53,22,47,50,14,13,26,15,85,50,47,78,58,4,7,81,46,38,54,6,61,41,45,2,60,31,40,63,41,60,75,0,68,35,9,37,33,3,69,86,73,36,14,25,19,7,94,41,46,68,95,28,97,42,88,48,47,0,42,38,49,55,4,71,23
1846,2,63,17,70,60,69,96,11,30,53,65,46,96,10,79,33,56,76,79,53,35,86,48,0,33,3,10,60,30,74,29,24,33,19,4,72,86,17,7,80,42,68,66,4,74,13,82,83,73,85,6,67,11,24,25,64,65,66,84,70,39,94,43,46,65,22,85,35,82,95,22,87,33,14,60,89,5,76,72,6,30,57,66,64,81,38,80,92,4,80,36,12,48,35,81,50,76,35,9,50
2155,91,86,4,81,4,21,59,69,82,99,35,47,24,44,30,72,17,50,34,56,24,55,97,37,60,97,78,76,36,41,55,25,70,11,52,68,76,7,5,28,82,79,24,93,17,4,92,95,43,90,35,28,82,55,6,35,48,99,25,53,73,88,28,22,69,65,28,64,18,32,1,74,21,37,48,79,35,46,42,56,98,37,64,21,30,95,58,78,15,33,11,6,56,72,99,82,96,66,21,87
2355,75,28,4,22,60,75,1,61,76,20,85,60,97,44,52,90,73,87,57,11,83,95,67,58,89,71,68,21,0,99,42,17,7,81,98,86,88,0,97,64,34,39,7,92,56,10,62,62,32,65,85,31,100,32,70,19,10,27,95,57,23,96,62,70,16,52,70,82,47,9,52,81,86,58,98,49,57,96,62,63,35,39,87,81,14,41,29,22,4,87,21,82,68,74,99,8,82,99,28,30
1973,43,62,36,30,2,66,81,61,68,23,49,70,44,18,50,92,26,29,59,38,47,84,4,25,83,28,17,81,92,78,79,50,27,73,87,66,44,80,37,37,93,9,35,58,99,23,50,85,40,36,46,29,42,10,54,71,68,20,6,99,11,92,4,99,45,20,15,18,91,55,24,12,18,30,47,71,10,95,56,11,82,42,14,11,13,98,81,68,45,38,35,67,37,65,10,28,18,51,3,83
2206,95,38,47,62,67,79,17,88,94,78,12,57,3,63,51,33,40,48,75,72,94,10,36,97,91,79,32,26,100,4,36,77,31,36,18,38,63,51,0,99,60,13,12,12,16,22,69,34,82,67,8,100,38,24,86,94,9,69,31,99,86,76,17,24,7,63,57,23,81,76,42,11,55,5,66,6,24,8,49,56,82,90,64,46,37,68,55,47,81,31,76,60,92,76,61,75,58,81,52,42
1905,46,7,19,59,64,60,59,24,56,59,99,16,86,85,38,2,90,37,26,11,20,69,24,87,46,57,22,25,26,30,21,9,70,13,47,74,50,100,23,68,84,81,90,41,76,38,14,23,43,96,46,86,24,95,49,77,72,66,0,27,18,35,48,52,91,30,39,49,94,95,61,18,59,29,47,98,40,32,79,18,7,3,47,26,25,96,19,66,82,48,83,92,100,39,80,14,47,95,96,68
1732,27,35,60,20,47,0,69,26,47,0,90,29,36,17,52,77,56,86,95,26,71,29,15,66,71,17,45,1,37,49,56,83,46,74,83,87,23,6,3,36,62,63,88,41,96,31,55,6,27,100,16,24,46,69,58,51,74,4,24,82,26,62,53,83,15,22,91,83,8,39,37,100,21,97,91,74,38,100,39,3,78,7,60,46,40,67,33,83,69,88,92,70,100,48,44,61,61,85,38,83
1874,43,23,89,47,9,36,49,96,73,38,73,44,31,53,96,5,23,77,37,52,49,42,24,13,0,43,98,49,86,43,59,29,90,43,97,68,86,23,81,60,63,7,78,35,85,93,78,45,57,9,93,82,37,26,43,79,78,26,40,40,3,0,21,76,61,44,28,99,56,48,29,43,4,53,65,8,68,6,31,9,82,42,50,19,9,29,57,47,37,80,29,44,19,100,88,37,65,76,10,3
2178,62,66,95,89,39,4,43,86,60,0,38,90,64,81,19,47,98,75,16,27,12,74,75,1,96,83,32,19,30,100,93,8,73,39,7,8,6,72,48,69,10,86,57,66,3,59,83,69,34,41,53,37,18,92,26,74,26,83,44,20,91,43,91,17,12,95,49,90,75,98,30,81,18,78,27,43,68,70,86,31,99,0,6,97,22,29,62,89,82,16,19,92,89,67,50,14,21,87,39,57
1523,88,8,95,98,87,36,81,25,48,98,61,71,93,18,2,38,19,59,32,77,38,24,78,66,47,80,3,24,3,2,47,51,30,46,0,29,5,17,40,19,55,33,9,95,32,11,74,65,10,16,5,85,34,35,10,59,91,25,2,67,39,38,39,59,44,3,16,49,26,67,28,7,62,90,3,38,37,30,66,87,2,84,73,47,98,34,94,24,57,11,0,4,58,41,69,5,66,11,6,92
2014,54,48,50,11,59,58,20,42,57,89,46,65,64,22,87,23,20,12,77,77,45,68,3,68,54,56,43,50,85,17,21,73,1,11,8,79,28,90,42,2,71,36,60,80,78,8,39,18,50,67,26,88,93,73,33,16,9,49,16,43,50,11,25,96,89,19,82,98,97,23,95,17,77,20,35,20,51,78,53,32,14,66,73,87,12,46,96,28,77,43,68,85,19,8,33,23,41,53,66,48
2344,97,3,47,17,71,71,63,24,68,19,91,27,55,87,61,21,17,4,48,42,35,84,40,88,93,76,22,55,58,84,54,70,92,29,77,16,43,1,65,47,5,51,86,25,32,92,58,30,45,52,49,47,0,85,5,73,58,9,29,41,45,69,100,46,34,93,54,59,85,93,85,15,88,66,46,70,47,80,79,45,89,88,30,18,47,15,32,3,9,36,38,82,35,19,83,41,63,20,99,5
1843,11,43,12,9,69,12,85,83,88,77,93,19,24,98,42,2,35,84,44,55,34,84,34,25,24,97,1,65,78,51,60,52,67,74,6,59,80,85,6,32,40,26,34,6,95,0,52,81,32,33,20,38,2,66,34,20,44,76,24,16,45,88,78,76,70,12,38,5,32,73,84,75,81,7,27,60,53,62,78,38,60,29,81,5,53,68,41,49,20,73,92,78,34,59,59,33,77,37,46,56
2078,67,11,80,80,12,99,35,49,6,37,10,44,70,25,60,52,89,38,92,93,42,87,21,82,18,3,100,24,42,93,46,43,28,11,24,10,76,13,89,42,49,69,26,3,56,75,82,37,63,93,12,36,43,54,46,41,73,51,80,78,16,46,99,34,97,100,30,84,30,4,15,66,24,86,61,11,83,56,11,74,72,52,20,37,10,50,68,40,30,49,65,94,50,23,51,42,41,27,46,70
1906,7,38,89,3,74,89,79,18,64,72,29,26,31,71,3,64,68,61,92,69,80,9,49,69,46,27,5,14,95,32,43,49,78,95,96,13,75,89,49,92,70,9,90,18,84,22,19,92,78,74,17,84,53,94,23,89,45,89,55,10,77,61,35,6,91,85,22,5,41,72,24,22,28,21,43,32,5,70,60,68,81,20,6,59,2,82,40,70,0,15,93,1,63,88,59,5,37,36,62,45
2165,62,53,53,39,37,21,29,43,76,14,48,18,85,1,37,17,57,97,71,0,52,93,54,94,12,24,79,100,50,26,85,31,64,37,5,78,25,70,33,18,84,31,58,17,41,74,99,3,44,65,22,35,50,72,80,63,56,49,84,43,41,95,38,46,74,36,1,69,32,11,18,35,10,22,1,87,18,0,12,18,37,80,51,2,48,80,33,39,42,55,92,17,65,80,64,76,57,23,75,27
2089,78,33,5,53,43,89,17,28,91,78,76,32,2,12,5,58,13,39,54,25,50,26,67,91,36,63,43,7,71,93,77,39,69,91,4,55,84,86,12,32,39,90,42,87,71,6,41,65,30,55,15,78,28,86,3,97,54,69,47,82,91,64,85,15,52,47,15,36,1,30,71,70,22,1,56,98,29,54,2,61,47,86,41,99,90,1,77,57,57,34,34,92,91,12,46,55,54,14,55,92
2192,93,63,4,92,3,61,35,1,88,22,16,46,45,14,60,20,84,40,37,47,99,86,88,71,14,79,68,0,36,65,28,97,14,82,67,34,75,23,2,27,36,33,70,46,11,26,17,90,90,70,16,17,72,30,47,62,92,36,2,35,51,95,74,41,89,47,35,54,56,29,36,57,6,70,46,27,85,99,87,82,8,30,14,50,40,28,73,16,19,34,97,36,64,77,11,10,33,6,13,27
2071,52,19,38,3,81,44,71,52,59,69,68,89,83,65,90,4,44,100,27,59,70,20,67,34,35,92,65,35,42,41,39,69,5,64,37,27,90,55,2,43,48,59,2,65,66,9,87,21,80,39,8,60,76,76,87,74,15,66,91,81,30,60,92,36,40,69,34,27,17,30,57,60,51,91,58,99,7,51,70,0,71,66,53,29,73,12,84,93,92,32,12,51,67,92,26,26,78,25,56,53
2149,23,7,29,53,94,76,33,81,98,47,51,56,75,63,19,96,81,72,81,3,61,33,35,66,98,2,53,45,5,46,71,20,96,83,76,39,59,28,100,27,77,32,96,7,30,54,47,82,75,14,98,45,41,44,53,70,98,18,98,61,88,95,28,92,40,50,71,77,66,28,95,28,21,92,35,49,58,57,87,19,7,91,65,58,0,48,47,91,89,22,78,33,48,44,35,92,66,9,19,28
2084,73,23,94,70,30,75,57,51,19,98,14,15,87,86,86,46,28,22,46,2,25,59,86,26,14,27,42,78,94,45,69,53,51,78,78,19,23,42,94,54,68,58,9,52,74,11,60,48,28,86,31,92,26,26,69,73,21,72,87,90,33,43,10,98,5,50,80,46,65,75,97,48,23,27,70,85,5,68,74,76,93,57,20,37,30,33,43,7,10,67,96,1,67,81,16,17,83,24,97,45
2294,24,6,12,95,62,75,97,41,13,37,83,22,91,60,37,61,15,93,41,30,52,71,78,81,5,86,31,72,70,71,77,34,62,17,10,77,89,54,62,30,13,60,75,99,50,76,78,57,64,29,83,93,95,38,16,71,51,35,46,47,34,69,19,24,73,5,75,48,70,68,28,23,24,4,36,24,93,43,39,37,92,95,83,28,25,84,89,23,76,3,89,38,23,57,67,28,65,31,68,67
2154,85,7,97,25,30,54,24,25,9,55,60,60,1,72,10,43,71,53,8,27,33,6,82,62,27,82,100,88,78,30,35,80,57,33,54,3,5,30,67,24,62,45,89,3,31,90,35,31,54,73,32,93,46,23,28,22,48,72,26,70,80,88,53,10,53,52,6,49,86,41,12,64,53,45,43,79,22,30,23,62,4,100,4,65,92,44,10,55,81,61,0,15,49,90,44,60,47,95,88,72
1591,88,28,30,36,1,46,52,18,10,29,7,99,35,53,25,2,80,50,21,37,5,38,52,21,11,24,84,28,66,55,32,19,78,49,76,79,4,26,99,56,60,13,83,92,85,52,86,33,43,68,18,43,8,73,53,9,34,27,21,13,56,84,6,65,91,36,51,82,14,39,26,95,28,56,30,73,88,100,36,40,7,5,53,0,67,75,71,54,46,73,88,59,5,52,62,82,83,76,28,57
1846,48,39,62,32,48,57,57,59,39,80,9,74,54,5,39,79,24,97,57,65,59,58,64,91,23,61,5,34,35,43,34,46,89,77,57,61,90,24,31,50,1,55,9,70,86,43,49,38,65,20,25,34,61,80,26,64,6,9,79,25,73,76,60,13,83,29,49,80,26,2,1,49,2,38,68,67,67,22,73,81,34,45,15,16,91,57,18,56,52,43,68,77,11,30,11,76,5,20,16,59
1833,69,13,65,84,54,87,10,44,67,84,14,16,24,97,61,18,66,76,24,98,66,83,36,40,35,46,26,77,2,63,5,82,9,58,72,90,39,20,59,70,72,8,45,56,66,39,66,54,71,45,76,18,93,46,71,48,50,12,32,71,48,22,16,31,84,24,14,31,91,7,100,19,3,74,7,26,66,73,19,46,2,34,52,67,85,63,48,26,5,10,92,75,92,49,26,46,7,10,19,51
2139,89,46,67,40,11,82,20,67,24,10,83,21,15,78,48,13,94,58,21,99,57,92,92,44,46,24,35,2,99,20,4,77,36,67,25,72,34,82,43,22,91,58,70,55,33,6,1,11,42,71,45,99,52,98,72,70,47,59,37,13,57,92,60,94,21,4,88,50,32,27,34,65,52,66,12,8,36,63,99,13,70,63,51,0,28,38,23,39,5,6,43,80,97,90,18,35,28,43,51,52
1959,17,84,62,23,11,87,28,64,4,59,60,59,61,11,56,61,27,26,86,18,43,68,4,9,82,30,14,41,69,70,58,75,17,69,90,44,42,95,26,53,25,95,51,72,91,6,99,99,76,57,79,9,63,18,14,60,23,87,38,85,88,75,17,96,74,37,25,85,100,26,49,96,74,1,81,78,44,74,78,95,91,59,38,94,2,70,27,78,86,45,90,12,67,38,33,62,85,65,0,59
2112,41,8,72,34,71,16,67,50,12,10,8,37,83,34,85,19,40,90,92,36,93,65,14,21,100,8,48,22,99,85,71,53,57,94,64,19,98,10,18,42,38,99,12,89,26,10,58,42,73,80,50,77,93,7,60,81,60,88,30,47,6,43,33,60,0,85,85,7,19,71,7,56,84,37,67,95,90,76,98,59,75,69,72,18,74,75,24,69,22,89,6,3,61,25,64,74,93,92,16,18
2014,61,24,43,13,9,21,2,54,51,66,70,16,41,9,95,26,79,43,56,2,63,92,30,80,89,34,38,45,30,83,3,86,74,61,93,86,92,80,41,80,31,23,14,12,43,5,89,35,23,99,72,28,12,55,42,23,37,25,39,68,34,51,14,66,20,0,83,90,34,53,100,55,86,6,15,11,69,90,60,45,6,68,4,15,26,87,19,53,38,83,57,3,81,21,86,49,6,59,76,99
1872,22,68,56,25,9,92,68,40,1,86,68,43,1,15,76,21,64,17,5,37,82,5,27,63,3,13,37,30,94,88,71,41,63,49,26,16,42,52,30,31,15,22,86,56,14,44,9,77,75,71,10,58,24,88,78,90,53,84,19,54,17,69,67,4,21,44,90,38,65,15,56,55,35,54,21,41,9,23,16,61,33,13,93,24,81,36,64,28,46,100,38,61,69,66,70,25,51,15,61,51
1954,69,70,32,22,28,51,11,52,83,63,78,4,49,80,14,52,78,42,24,38,89,83,37,44,53,52,27,15,14,47,2,84,67,37,25,2,4,20,4,3,2,32,56,1,90,55,1,62,34,56,7,36,42,39,8,39,51,69,96,42,19,99,97,14,66,59,75,46,61,67,73,1,68,9,40,49,65,9,8,54,33,27,69,18,21,84,22,17,45,67,79,74,8,25,100,47,57,57,2,22
2236,65,51,2,72,92,81,91,42,78,5,60,89,82,41,42,10,33,16,100,44,16,45,32,48,40,64,95,75,92,64,73,35,91,19,58,88,69,36,15,0,82,72,2,94,61,92,64,24,75,51,29,84,66,34,77,90,94,16,35,89,86,37,21,3,80,8,79,81,19,66,69,70,75,63,57,73,85,91,14,51,25,1,94,79,54,6,16,53,60,23,95,14,67,64,10,83,41,94,45,60
2185,54,53,62,65,18,85,73,77,59,72,76,14,32,33,40,91,77,90,79,10,78,51,14,92,41,54,44,47,55,96,88,98,8,64,35,59,35,97,22,61,85,64,74,54,3,77,7,26,52,41,83,43,33,63,70,82,21,22,82,72,89,54,50,30,68,23,22,12,28,94,56,53,84,83,14,44,55,4,78,33,19,6,64,63,89,60,15,78,100,17,27,95,79,25,85,41,34,84,31,94
1773,10,61,96,97,61,70,31,62,6,51,51,87,57,53,1,80,39,75,16,59,60,7,32,71,82,20,18,97,56,36,87,73,75,92,29,15,34,86,20,3,9,15,87,53,94,99,100,57,52,90,19,80,86,68,5,85,44,53,5,16,6,36,76,73,48,43,13,11,32,16,66,21,68,18,76,46,4,45,50,72,78,46,53,30,51,73,96,27,58,53,100,85,61,46,10,95,78,60,59,98
2252,8,12,25,33,26,26,80,8,85,100,44,63,76,89,56,79,19,75,81,21,25,23,94,94,91,99,1,17,15,73,37,91,31,76,90,10,21,91,45,61,58,7,75,100,68,61,59,12,77,33,87,72,76,19,55,54,24,95,99,16,72,43,91,100,91,38,29,98,2,27,53,41,47,19,47,32,59,3,99,23,6,94,72,24,10,93,6,94,97,0,21,59,90,70,4,52,48,76,49,82
1943,8,32,78,99,72,15,57,74,64,7,77,73,88,38,62,40,36,32,73,5,68,48,1,56,29,42,91,95,83,42,28,15,59,73,85,96,43,4,25,67,2,8,63,48,20,47,92,56,86,79,25,15,12,6,100,38,82,54,76,59,33,25,6,62,86,54,24,30,22,24,7,20,31,13,44,19,5,1,58,24,21,45,60,41,64,13,45,20,71,15,94,4,47,7,89,2,66,84,16,99
1987,27,42,39,79,14,69,89,70,25,94,97,0,23,80,44,96,42,28,26,95,12,2,75,69,67,68,89,50,91,7,6,18,38,83,92,90,96,21,88,16,4,51,55,79,22,87,90,41,87,43,83,17,100,35,4,75,12,36,76,87,55,19,0,52,67,5,69,43,27,65,20,43,59,48,25,44,53,65,19,94,100,24,92,68,34,4,7,94,71,99,45,65,85,81,14,91,26,34,62,24
2175,13,31,83,42,49,29,22,52,27,3,95,3,50,17,0,67,4,22,92,98,96,61,80,88,63,3,64,38,47,88,19,91,70,34,23,43,45,30,73,22,49,70,83,80,96,69,14,14,44,27,87,39,81,10,2,25,82,36,64,45,81,16,50,43,80,78,1,20,68,11,34,47,86,88,100,77,21,98,96,22,80,74,97,21,83,77,46,79,83,90,1,85,11,5,86,72,33,84,100,48
1900,72,68,26,66,7,72,62,50,58,68,66,38,14,22,38,57,49,69,56,32,42,43,96,83,73,99,3,14,40,21,22,82,26,14,94,0,31,1,92,38,50,96,81,76,34,75,46,66,39,79,23,74,34,91,67,32,97,10,96,0,32,38,68,31,35,28,35,21,5,55,7,28,66,51,16,93,47,61,43,33,74,68,79,0,7,68,40,65,72,95,76,63,83,61,69,47,13,73,5,44
1921,90,17,78,98,15,27,82,31,97,8,23,97,22,11,46,28,42,7,7,9,31,40,15,5,12,32,53,59,85,86,15,100,75,57,32,89,100,23,61,77,72,75,85,9,67,66,46,52,90,65,98,90,51,18,72,38,19,33,62,21,90,17,48,81,86,68,42,93,29,29,4,45,63,34,17,64,78,42,52,99,30,88,5,60,51,54,73,68,10,31,18,60,25,8,81,55,53,53,71,39
2265,76,58,90,49,36,21,47,61,57,87,64,80,64,51,56,47,7,51,11,52,47,98,5,21,61,99,100,58,87,30,86,43,46,63,87,81,69,32,55,82,35,58,72,6,19,99,54,17,76,2,54,90,5,64,56,6,8,64,94,66,67,79,3,52,65,8,32,72,71,97,75,4,39,61,19,28,32,35,52,90,71,42,53,72,20,2,41,55,78,18,60,99,48,3,15,19,45,57,17,86
1868,67,6,86,23,53,17,41,78,38,30,67,68,77,44,11,2,96,8,66,62,83,0,19,32,41,85,3,74,78,94,35,73,36,77,64,94,65,2,38,81,94,65,28,4,50,35,48,86,28,81,5,82,11,64,7,28,56,10,50,44,10,13,86,93,10,60,14,46,83,78,33,93,46,24,80,48,64,76,73,95,96,57,2,72,84,36,52,10,51,84,91,42,20,81,39,56,27,75,52,85
2035,36,6,60,21,73,23,99,25,54,64,62,77,99,52,16,45,78,61,51,43,39,10,22,46,40,72,78,24,32,34,6,67,57,90,89,37,48,50,26,31,7,54,68,47,55,15,94,88,4,91,72,99,83,83,91,78,48,87,96,78,47,77,7,45,39,61,32,56,20,42,45,86,30,41,44,9,87,65,12,92,3,89,12,8,26,30,54,39,18,69,67,55,59,80,23,34,10,90,22,34
1879,67,4,64,85,2,66,76,68,52,94,42,20,26,18,64,57,8,41,39,65,49,28,62,30,25,29,43,36,35,55,8,27,21,22,35,19,47,68,63,9,79,35,17,26,7,0,5,69,55,28,68,38,65,23,99,32,82,33,94,33,83,43,92,47,41,12,2,59,81,68,9,96,56,91,25,12,9,45,74,95,76,38,48,57,86,63,28,64,80,95,45,97,55,13,67,14,76,93,86,3
2311,13,12,67,38,43,99,8,18,32,51,39,56,64,17,43,52,94,6,55,91,28,60,46,100,59,100,91,50,53,100,94,73,82,0,68,98,31,16,94,32,77,9,69,10,11,78,8,40,87,4,36,1,68,92,58,2,9,10,1,42,82,21,80,39,28,53,54,82,81,98,90,91,81,38,66,43,14,83,24,15,55,84,73,46,6,97,99,15,34,84,77,28,86,12,11,39,26,75,63,37
2491,57,21,84,85,73,16,66,39,34,4,33,84,28,82,98,10,48,81,83,41,36,62,91,95,87,47,84,25,69,52,17,93,20,18,12,34,37,36,20,45,39,6,33,3,65,44,19,35,62,39,40,25,54,70,82,95,6,97,58,7,45,79,73,80,49,97,99,49,34,56,89,72,60,11,22,51,85,58,80,31,32,4,93,58,22,95,85,81,5,46,12,41,67,43,32,60,75,13,83,48
2259,86,66,97,44,31,79,57,2,57,27,31,58,27,62,2,10,52,94,29,63,50,65,49,23,98,58,40,22,87,51,100,29,64,37,24,43,99,86,74,8,85,16,64,17,38,21,44,2,21,44,79,27,68,42,45,61,97,77,98,61,72,24,45,3,37,86,25,55,89,82,6,55,37,10,45,59,59,49,73,77,72,11,42,36,63,93,38,9,4,87,25,74,66,12,9,59,52,53,4,78
1837,85,94,48,48,73,74,93,69,9,38,46,91,49,6,49,39,71,77,20,31,3,74,92,50,71,16,62,30,71,8,21,57,79,15,14,23,68,29,6,33,51,9,54,75,91,58,30,99,59,48,12,18,32,33,92,66,57,6,60,34,73,49,1,36,33,25,71,36,97,52,38,98,61,23,41,14,56,84,95,25,21,73,31,66,68,71,40,62,74,31,10,82,86,70,47,69,55,25,81,85
2067,89,26,57,92,80,87,42,25,89,78,36,76,3,85,17,50,51,53,78,5,3,18,14,66,98,24,75,9,94,57,85,76,12,93,18,6,54,17,0,73,60,51,61,56,66,66,28,79,47,19,82,32,90,90,36,66,3,85,73,58,7,91,35,75,97,98,28,3,51,51,88,34,47,88,93,28,78,83,41,16,62,66,52,47,86,78,5,88,11,3,95,38,25,34,89,16,75,16,91,40
